geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SOX8,161.91915363738565,-1.417015809345243,0.43651765165974116,-3.2461821508418294,0.0011696397642960653,0.03739968681067384
YBX2,485.38454419468616,1.101029753212556,0.3369964075876918,3.2671854311267414,0.001086225072577488,0.03653415385491405
SCIN,872.9937839694566,-1.4842015797450998,0.38925909106015283,-3.812888674488899,0.00013735198967001528,0.010253915590771257
MAPK8IP2,1752.4537348097747,1.2341507990352922,0.3474135072477939,3.552397282455198,0.0003817380268079062,0.019465614501697606
GABRA3,40.669775831074226,3.3043672523451435,0.7710339282961273,4.2856314502882045,1.8222086285640985e-05,0.0029555880120901976
CD22,617.666940732206,-1.256730757195175,0.3312074434900683,-3.794391647580407,0.0001480058967062764,0.010847921941733826
STMN4,9.34279783607371,1.4468598355461542,0.42008566205220366,3.4442019003408744,0.0005727478308877031,0.025107267311502365
ATP1A2,541.2480438642939,-1.730158004132062,0.4898690300659299,-3.531878722562244,0.0004126185445411852,0.0204252527525495
CYP24A1,58.74809346571935,-2.2027313928911934,0.5042425563408582,-4.368396449668539,1.2516213673269374e-05,0.002341405181111136
NRXN3,240.05778115433574,-1.0284014208804306,0.31381168022299777,-3.277129201021575,0.0010486837079648642,0.036005019880457394
FHL1,3893.7135595938635,-1.4715230219774393,0.3653542133197535,-4.0276612895923565,5.633442071103777e-05,0.006144462104401191
MYOC,20.369996067896377,-3.2075754706184947,0.6397646130590884,-5.013680664957698,5.339858151801759e-07,0.0002727226601466244
STAP1,79.85263445108129,-1.1697584019163367,0.363254484605053,-3.220217372369544,0.0012809342879917293,0.039440518325762564
PTGER3,3046.198110443124,-1.2368950813819406,0.34271492351642663,-3.6091077350550655,0.00030725199652831015,0.01706394694617154
CHRDL2,120.47751111489742,-1.6087402354561182,0.46791114759896124,-3.4381318840365442,0.0005857423423307835,0.025434339550385005
SPAG4,276.49048218880125,1.7060639135320377,0.24211325241271467,7.046553199920762,1.8340402491663658e-12,7.3765098821471236e-09
BCAS1,2376.331019478974,1.3687566456446385,0.4266414945176185,3.2082126638718553,0.001335626964324352,0.04020124715070192
PRR11,1002.6923048262794,1.1635557931681295,0.2870476981679199,4.053527691023189,5.045102491997611e-05,0.005695832202895268
PAGE1,1.5402655761196682,6.362886596183606,1.3445457743312565,4.73236889190206,2.2191464014113803e-06,0.0007361160269259029
FGF10,1829.9652750697956,-1.951835737853109,0.523142530318712,-3.7309827145271477,0.00019073431146710097,0.012640622051253238
EPHA8,54.598681275056755,-1.722694233155423,0.5525032284606117,-3.117980392540339,0.0018209491751833148,0.047562271653415165
MYO3B,160.94465346303795,-1.8196469376349447,0.47550228748513595,-3.8267890303089787,0.00012982569118235275,0.010005649534353817
TRHDE,38.891527253199534,-1.7257755637914307,0.49146545816738335,-3.5114890275842456,0.0004456038573764978,0.021272625689831147
PANX2,272.93236647535065,1.2001147154654566,0.3244913183064068,3.6984493814168133,0.0002169205970171021,0.013730615587265679
PTGS2,506.5857793166225,-2.586778420995819,0.448603339850675,-5.766293273377926,8.103399883609902e-09,1.0863958110626343e-05
TXK,49.826436384364186,-1.405748781534361,0.32054563443714623,-4.385487214644957,1.1572645575431578e-05,0.002223482901723135
TUBA3D,252.7574329186248,-2.6140097768590858,0.4296895756615107,-6.083484275444187,1.1759845612859966e-09,2.2257928967022488e-06
ACACB,2784.180971838351,-1.0359102008973518,0.3306405014748069,-3.1330408594129318,0.0017300535672980359,0.046117235626196136
SPAG6,324.6447528745911,-4.224800800347987,0.6392504579674639,-6.608991433155951,3.869471091813369e-11,1.0375341820848915e-07
EDN1,852.2875529431928,-1.2080466025703194,0.28799689272184725,-4.194651515692127,2.732914224437025e-05,0.0037740020637547517
DDX43,29.920909569749526,-1.5135087174949557,0.4059860198827415,-3.7279823525255704,0.00019301889040024538,0.012726589789996506
SLC4A4,338.56434461067454,-2.212143635404799,0.48016236486169844,-4.607074184254246,4.083743395866954e-06,0.0010859382438464058
CXCL2,348.3124283016756,-2.028112627163644,0.47392244302969716,-4.279418831060839,1.873819575026421e-05,0.003014600932302506
IL12RB2,304.6864884715439,-1.7393871305226922,0.4694160914670006,-3.7054271511801575,0.00021103477987041323,0.013553403347525781
COL19A1,18.782245303773664,-2.9643257627334125,0.594956839098664,-4.982421526953532,6.279345892612811e-07,0.00030841508591580906
APOB,50.71954070383558,-2.292926854920591,0.5460207664375851,-4.1993400175608375,2.6769408736897956e-05,0.0037612772730062386
MYBPC2,21.447919639969445,-1.3963235115828618,0.39300632483233494,-3.552928854716432,0.0003809674835703438,0.01945715833549108
PIR,631.7989567265722,1.1578102933870487,0.22636671278845874,5.1147550765073415,3.1414830868464354e-07,0.00018050064250423376
SLC15A1,41.31408216048396,-2.219682027515272,0.5331320462385458,-4.1634751524992595,3.1344014933607075e-05,0.004066633163321538
CHGB,232.74765262739777,-3.7473189157710265,0.6870227523418173,-5.454432044641525,4.912961849075267e-08,4.272417850157995e-05
SLC26A3,118.24784337222506,-1.5380910533784349,0.4842453530250672,-3.1762639409341213,0.0014918514934765667,0.042834137917995785
MYO3A,61.410027555605055,-1.9163137795808916,0.4440944970942988,-4.315103636994588,1.5952804422480324e-05,0.0027596636295576715
EFNA2,14.149173375159382,1.7467934415971602,0.480368963402081,3.6363578305017383,0.00027652014499011056,0.016045399376796287
HCN2,51.50369381106019,1.1443171568712476,0.32467598320740104,3.524489694515731,0.00042429931884405825,0.020622741515296705
